Obstacle,Location of Obstacle,Hazard(Boolean),Sensor Type
0.033,back,False,Edge
0.034,back,False,Edge
0.034,back,False,Edge
0.465,back,False,Range
0.516,back,False,Range
0.424,back,False,Range
0.424,back,False,Range
0.034,back,False,Edge
0.044,back,False,Edge
0.926,back,False,Range
0.034,back,False,Edge
0.032,back,False,Edge
0.039,back,False,Edge
0.032,back,False,Edge
1.264,back,False,Range
1.185,back,False,Range
1.18,back,False,Range
0.043,back,False,Edge
0.03,back,False,Edge
0.034,back,False,Edge
0.04,back,False,Edge
0.039,back,False,Edge
0.033,back,False,Edge
0.949,back,False,Range
0.039,back,False,Edge
0.916,back,False,Range
0.038,back,False,Edge
0.042,back,False,Edge
0.034,back,False,Edge
0.034,back,False,Edge
0.623,back,False,Range
0.034,back,False,Edge
0.835,back,False,Range
0.033,back,False,Edge
1.238,back,False,Range
0.032,back,False,Edge
0.037,back,False,Edge
0.043,back,False,Edge
0.033,back,False,Edge
0.039,back,False,Edge
0.031,back,False,Edge
0.031,back,False,Edge
0.033,back,False,Edge
0.032,back,False,Edge
0.032,back,False,Edge
0.03,back,False,Edge
0.032,back,False,Edge
0.034,back,False,Edge
0.033,back,False,Edge
0.032,back,False,Edge
0.033,back,False,Edge
0.031,back,False,Edge
0.031,back,False,Edge
0.032,back,False,Edge
0.033,back,False,Edge
0.032,back,False,Edge
0.033,back,False,Edge
0.037,back,False,Edge
0.037,back,False,Edge
0.041,back,False,Edge
0.032,back,False,Edge
0.041,back,False,Edge
0.033,back,False,Edge
0.031,back,False,Edge
0.041,back,False,Edge
0.033,back,False,Edge
0.032,back,False,Edge
0.032,back,False,Edge
0.032,back,False,Edge
0.04,back,False,Edge
0.031,back,False,Edge
0.034,back,False,Edge
0.034,back,False,Edge
0.031,back,False,Edge
0.034,back,False,Edge
0.039,back,False,Edge
0.033,back,False,Edge
0.038,back,False,Edge
0.042,back,False,Edge
0.031,back,False,Edge
0.04,back,False,Edge
0.033,back,False,Edge
0.034,back,False,Edge
0.037,back,False,Range
0.036,back,False,Edge
0.324,back,False,Range
0.038,back,False,Edge
0.034,back,False,Edge
0.034,back,False,Edge
0.033,back,False,Edge
0.034,back,False,Edge
0.035,back,False,Edge
0.031,back,False,Edge
0.042,back,False,Edge
0.033,back,False,Edge
0.043,back,False,Edge
0.032,back,False,Edge
0.028,back,False,Edge
0.037,back,False,Edge
0.031,back,False,Edge
